0,0.38,108.81
1,0.48,83.28
2,0.51,74.71
3,0.51,74.62
4,0.53,68.92
5,0.54,67.13
6,0.55,66.19
7,0.56,66.61
8,0.55,66.43
9,0.56,66.41
10,0.55,67.79
11,0.55,68.62
12,0.57,64.54
13,0.56,67.08
14,0.57,68.22
15,0.57,66.29
16,0.57,67.53
17,0.57,69.69
18,0.57,70.37
19,0.58,66.54
20,0.58,67.26
21,0.57,69.84
22,0.57,71.88
23,0.57,70.6
24,0.57,71.61
25,0.57,72.74
26,0.57,73.1
27,0.57,74.12
28,0.58,72.42
29,0.57,76.81
30,0.57,73.7
31,0.57,74.73
32,0.57,77.22
33,0.57,74.95
34,0.57,78.6
35,0.57,77.95
36,0.57,80.13
37,0.57,78.31
38,0.58,80.4
39,0.57,82.17
40,0.58,77.55
41,0.57,81.68
42,0.58,82.69
43,0.57,81.63
44,0.57,81.62
45,0.57,84.53
46,0.57,82.98
47,0.57,82.45
48,0.58,88.05
49,0.57,85.89
