0,0.46,89.68
1,0.51,75.35
2,0.54,69.31
3,0.53,68.83
4,0.55,67.04
5,0.56,66.82
6,0.56,68.08
7,0.55,70.16
8,0.55,66.84
9,0.56,70.25
10,0.57,69.81
11,0.57,70.17
12,0.57,67.81
13,0.57,70.76
14,0.57,73.66
15,0.57,72.25
16,0.57,75.4
17,0.57,73.48
18,0.58,72.3
19,0.57,73.56
20,0.57,74.75
21,0.57,76.5
22,0.58,77.23
23,0.57,82.63
24,0.57,81.4
25,0.58,80.25
26,0.57,82.02
27,0.58,82.9
28,0.57,81.4
29,0.58,82.97
30,0.58,85.7
31,0.58,84.5
32,0.58,87.11
33,0.57,86.22
34,0.58,86.09
35,0.58,90.27
36,0.58,88.05
37,0.58,87.91
38,0.58,90.85
39,0.57,92.53
40,0.58,91.5
41,0.57,90.68
42,0.58,91.76
43,0.57,94.54
44,0.58,95.1
45,0.58,94.89
46,0.58,93.13
47,0.57,100.13
48,0.57,97.69
49,0.57,100.71
