0,0.28,152.06
1,0.42,107.48
2,0.5,80.55
3,0.52,75.57
4,0.53,73.06
5,0.54,69.83
6,0.54,69.36
7,0.55,67.42
8,0.54,69.83
9,0.54,67.45
10,0.56,65.47
11,0.55,67.11
12,0.56,65.82
13,0.56,66.47
14,0.57,64.61
15,0.57,64.94
16,0.57,65.97
17,0.56,66.2
18,0.57,66.13
19,0.57,67.07
20,0.57,66.46
21,0.56,68.69
22,0.57,66.58
23,0.57,65.62
24,0.57,67.01
25,0.57,66.75
26,0.57,67.09
27,0.57,71.46
28,0.57,67.7
29,0.57,68.44
30,0.58,68.51
31,0.57,67.51
32,0.57,70.95
33,0.58,68.38
34,0.57,70.83
35,0.57,70.19
36,0.57,70.45
37,0.57,71.98
38,0.57,70.46
39,0.57,71.74
40,0.58,69.85
41,0.57,73.78
42,0.58,71.69
43,0.58,70.09
44,0.57,72.14
45,0.57,74.29
46,0.58,71.51
47,0.58,74.28
48,0.57,72.72
49,0.57,75.44
