0,0.37,108.93
1,0.48,82.76
2,0.51,74.83
3,0.51,74.06
4,0.53,69.19
5,0.54,67.25
6,0.55,67.15
7,0.55,66.3
8,0.55,68.61
9,0.55,66.57
10,0.55,68.4
11,0.55,68.53
12,0.57,64.46
13,0.56,67.6
14,0.56,69.75
15,0.57,66.36
16,0.56,70.68
17,0.56,73.08
18,0.57,71.47
19,0.58,67.15
20,0.57,68.49
21,0.57,72.01
22,0.57,73.42
23,0.57,73.94
24,0.57,72.76
25,0.57,75.1
26,0.57,73.62
27,0.57,74.79
28,0.58,72.06
29,0.57,76.51
30,0.58,74.26
31,0.57,76.4
32,0.57,77.63
33,0.57,75.32
34,0.57,79.72
35,0.57,76.54
36,0.57,80.15
37,0.57,77.76
38,0.58,79.49
39,0.57,82.36
40,0.58,78.87
41,0.58,80.27
42,0.57,83.04
43,0.57,81.63
44,0.57,82.56
45,0.57,84.47
46,0.58,82.49
47,0.57,83.27
48,0.57,86.45
49,0.57,85.98
50,0.58,83.81
51,0.57,85.44
52,0.57,88.81
53,0.58,86.88
54,0.58,90.74
55,0.57,89.02
56,0.57,87.89
57,0.58,88.32
58,0.57,93.61
59,0.58,86.92
60,0.57,93.14
61,0.57,91.18
62,0.58,93.22
63,0.57,91.95
64,0.57,94.25
65,0.58,92.89
66,0.58,94.95
67,0.58,94.4
68,0.57,95.81
69,0.58,92.75
70,0.57,94.5
71,0.57,101.75
72,0.54,107.35
73,0.37,518.35
74,0.53,71.63
75,0.56,65.92
76,0.57,71.8
77,0.57,74.9
78,0.58,78.71
79,0.58,79.3
80,0.58,81.99
81,0.58,82.81
82,0.58,86.31
83,0.58,86.87
84,0.58,90.52
85,0.58,87.98
86,0.58,90.63
87,0.58,90.59
88,0.58,91.98
89,0.58,93.3
90,0.57,94.55
91,0.57,93.48
92,0.58,95.04
93,0.58,94.73
94,0.58,94.92
95,0.58,95.75
96,0.58,96.96
97,0.58,96.35
98,0.58,96.37
99,0.57,98.42
