0,0.38,108.57
1,0.48,83.35
2,0.51,74.6
3,0.52,72.82
4,0.53,68.49
5,0.54,67.66
6,0.55,66.66
7,0.56,64.92
8,0.55,66.1
9,0.56,65.3
10,0.55,66.62
11,0.56,66.88
12,0.56,65.53
13,0.56,67.37
14,0.57,68.13
15,0.56,66.17
16,0.56,71.21
17,0.56,72.1
18,0.57,70.83
19,0.58,66.32
20,0.57,67.99
21,0.57,70.14
22,0.57,72.6
23,0.57,73.74
24,0.57,72.32
25,0.57,74.44
26,0.57,73.91
27,0.57,74.35
28,0.58,72.35
29,0.57,76.27
30,0.58,72.89
31,0.57,75.69
32,0.57,76.51
33,0.57,74.17
34,0.57,79.35
35,0.57,78.11
36,0.57,79.34
37,0.57,78.73
38,0.58,78.87
39,0.57,81.97
40,0.58,77.79
41,0.58,80.4
42,0.58,81.65
43,0.58,80.72
44,0.57,82.04
45,0.57,84.63
46,0.57,81.3
47,0.57,82.53
48,0.58,84.98
49,0.57,87.66
50,0.58,84.1
51,0.58,83.94
52,0.57,88.35
53,0.58,85.73
54,0.57,91.34
55,0.57,86.87
56,0.57,87.35
57,0.58,85.45
58,0.57,93.26
59,0.58,87.28
60,0.58,92.14
61,0.57,91.74
62,0.58,93.47
63,0.58,89.34
64,0.57,94.35
65,0.58,91.59
66,0.57,95.81
67,0.58,93.79
68,0.57,95.71
69,0.57,95.97
70,0.58,92.91
71,0.57,98.82
72,0.58,96.39
73,0.58,96.57
74,0.33,244.04
75,0.53,67.44
76,0.55,73.3
77,0.57,74.26
78,0.57,79.02
79,0.58,80.93
80,0.57,85.52
81,0.58,86.86
82,0.58,90.69
83,0.58,90.81
84,0.57,94.7
85,0.58,91.37
86,0.58,93.82
87,0.58,95.48
88,0.58,95.68
89,0.58,96.97
90,0.57,97.4
91,0.58,98.43
92,0.58,97.29
93,0.58,98.39
94,0.58,98.91
95,0.58,99.84
96,0.58,98.52
97,0.58,97.03
98,0.58,98.71
99,0.58,103.71
