0,0.44,102.29
1,0.5,78.51
2,0.54,69.81
3,0.54,68.76
4,0.55,67.18
5,0.56,65.48
6,0.56,65.72
7,0.57,65.65
8,0.56,68.8
9,0.57,66.52
10,0.57,66.61
11,0.56,69.2
12,0.57,70.21
13,0.57,67.61
14,0.57,67.76
15,0.57,68.68
16,0.57,68.68
17,0.58,70.81
18,0.57,70.42
19,0.57,74.33
20,0.58,72.33
21,0.57,74.64
22,0.58,74.65
23,0.57,73.56
24,0.58,71.91
25,0.58,73.73
26,0.58,75.86
27,0.57,75.33
28,0.58,76.03
29,0.58,75.03
30,0.58,77.7
31,0.58,79.37
32,0.58,78.48
33,0.58,79.63
34,0.58,81.3
35,0.58,78.48
36,0.57,82.22
37,0.58,81.95
38,0.58,83.35
39,0.58,82.39
40,0.58,82.02
41,0.58,84.35
42,0.58,85.52
43,0.58,83.79
44,0.58,87.47
45,0.58,84.42
46,0.58,85.45
