0,0.37,111.0
1,0.47,83.13
2,0.5,76.96
3,0.52,73.5
4,0.53,69.89
5,0.55,66.73
6,0.54,69.13
7,0.55,66.29
8,0.54,68.14
9,0.55,68.59
10,0.55,68.05
11,0.55,68.43
12,0.56,66.73
13,0.56,66.61
14,0.56,67.22
15,0.56,67.39
16,0.57,66.72
17,0.56,71.95
18,0.56,68.71
19,0.56,72.09
20,0.56,73.62
21,0.57,71.14
22,0.57,73.21
23,0.57,72.69
24,0.56,73.3
25,0.57,71.92
26,0.56,73.71
27,0.57,74.27
28,0.57,73.18
29,0.57,75.97
30,0.57,74.46
31,0.57,74.72
32,0.57,76.77
33,0.57,75.13
34,0.56,81.28
35,0.52,89.44
36,0.52,86.78
37,0.54,85.05
38,0.57,76.47
39,0.57,74.35
40,0.58,72.61
41,0.58,73.91
42,0.58,74.92
43,0.58,75.64
44,0.58,76.09
45,0.58,78.68
46,0.58,78.82
47,0.58,77.96
48,0.58,80.36
49,0.58,80.63
