0,0.44,101.71
1,0.5,78.13
2,0.54,69.32
3,0.54,68.77
4,0.55,66.71
5,0.56,65.06
6,0.56,65.47
7,0.57,64.26
8,0.56,66.14
9,0.57,65.9
10,0.57,65.98
11,0.56,67.81
12,0.57,66.83
13,0.57,65.52
14,0.58,65.87
15,0.58,66.71
16,0.58,67.58
17,0.58,70.25
18,0.58,68.65
19,0.57,71.95
20,0.58,71.39
21,0.58,72.38
22,0.58,74.16
23,0.58,71.91
24,0.58,70.95
25,0.58,71.88
26,0.58,74.38
27,0.58,72.16
28,0.58,74.2
29,0.58,74.54
30,0.58,76.6
31,0.58,78.09
32,0.58,76.44
33,0.58,77.24
34,0.58,80.3
35,0.58,77.0
36,0.58,79.24
37,0.58,78.65
38,0.58,81.58
39,0.58,79.89
40,0.58,81.07
41,0.58,81.71
42,0.58,83.05
43,0.58,81.94
44,0.58,84.08
45,0.58,82.49
46,0.58,84.55
47,0.58,84.0
48,0.58,85.88
49,0.58,85.41
