0,0.29,152.13
1,0.44,101.43
2,0.48,86.0
3,0.51,78.24
4,0.52,77.77
5,0.53,71.48
6,0.54,69.76
7,0.54,67.94
8,0.55,67.88
9,0.54,67.94
10,0.55,68.58
11,0.55,68.56
12,0.55,67.67
13,0.56,65.61
14,0.55,66.36
15,0.56,65.67
16,0.55,69.17
17,0.56,66.11
18,0.56,66.56
19,0.55,68.56
20,0.56,68.05
21,0.55,71.37
22,0.56,66.97
23,0.56,68.09
24,0.56,67.88
25,0.56,68.41
26,0.56,69.73
27,0.56,70.77
28,0.56,70.88
29,0.57,71.43
30,0.56,69.1
31,0.56,72.12
32,0.57,69.91
33,0.57,72.54
34,0.57,72.04
35,0.56,73.39
36,0.57,71.14
37,0.57,71.18
38,0.56,73.11
39,0.57,73.25
40,0.56,73.07
41,0.57,73.65
42,0.57,72.55
43,0.57,74.13
44,0.56,74.03
45,0.57,74.66
46,0.57,73.73
47,0.57,75.32
48,0.57,75.33
49,0.57,74.11
