0,0.38,108.17
1,0.48,82.97
2,0.51,75.2
3,0.52,72.89
4,0.53,69.73
5,0.54,67.4
6,0.55,65.68
7,0.56,65.25
8,0.55,66.74
9,0.55,67.09
10,0.55,68.0
11,0.55,69.34
12,0.56,66.6
13,0.55,70.29
14,0.56,68.72
15,0.57,67.45
16,0.57,68.43
17,0.56,70.79
18,0.56,70.16
19,0.57,66.63
20,0.57,68.85
21,0.57,71.37
22,0.57,71.39
23,0.57,71.47
24,0.57,71.66
25,0.57,73.15
26,0.56,74.3
27,0.57,73.36
28,0.57,73.62
29,0.57,75.77
30,0.57,74.16
31,0.57,76.48
32,0.57,76.0
33,0.57,74.66
34,0.57,80.83
35,0.57,77.05
36,0.57,79.57
