0,0.36,113.5
1,0.47,86.28
2,0.49,78.65
3,0.52,73.14
4,0.52,73.19
5,0.53,69.03
6,0.53,70.63
7,0.55,67.46
8,0.54,69.58
9,0.56,66.94
10,0.54,68.41
11,0.56,65.85
12,0.55,67.09
13,0.55,70.14
14,0.55,70.48
15,0.56,69.85
16,0.57,68.06
17,0.56,70.25
18,0.56,70.2
19,0.55,73.32
20,0.57,70.66
21,0.56,71.01
22,0.56,72.68
23,0.57,72.58
24,0.56,74.71
25,0.57,74.41
26,0.56,75.01
27,0.57,74.83
28,0.57,73.13
29,0.56,78.36
30,0.56,77.78
31,0.57,78.04
32,0.57,75.26
33,0.56,82.78
34,0.56,77.67
35,0.57,77.06
36,0.57,78.2
37,0.56,81.85
38,0.57,79.94
39,0.57,80.36
40,0.57,81.86
41,0.57,80.47
42,0.57,78.55
43,0.57,81.6
44,0.57,82.31
45,0.57,84.0
46,0.57,84.53
47,0.57,87.06
48,0.57,86.13
49,0.57,87.37
